date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
3/7/2021,TX,44451,,84,,,,4721,0,,1463,,0,,,,,,2686818,2320857,2953,0,159003,211014,,,2628176,2502609,,0,19907384,76040,1033285,2664340,,,,0,19907384,76040
3/7/2021,UT,1976,,1,,14891,14891,212,24,2344,73,1560293,3204,,,2564131,822,,374850,,412,0,,60158,,57683,345990,358958,,0,2910121,6828,,1002177,,371319,1876802,3460,2910121,6828
3/7/2021,VA,9596,8104,77,1492,24661,24661,1127,24,,258,,0,,,,,168,585700,461172,1163,0,28980,125061,,,562266,,6038209,19925,6038209,19925,224284,1454389,,,,0,,0
3/7/2021,VI,25,25,0,,,,,0,,,46167,0,,,,,,2714,,0,0,,,,,,2559,,0,48881,0,,,,,48961,0,,0
3/7/2021,VT,208,,0,,,,31,0,,1,320060,643,,,,,,16083,15635,119,0,,,,,,13384,,0,1124215,8748,,,,,335695,759,1124215,8748
3/7/2021,WA,5041,,0,,19599,19599,431,43,,98,,0,,,5068404,,43,344532,325053,664,0,,,,,324994,,5393756,24040,5393756,24040,,,,,,0,,0
3/7/2021,WI,7106,6481,4,625,26457,26457,249,25,2273,66,2647864,3521,,,,,,621654,566693,377,0,,,,,,553203,7080595,19193,7080595,19193,,,,,3214557,3850,,0
3/7/2021,WV,2325,1981,2,344,,,179,0,,40,,0,,,,,26,133445,106629,155,0,,,,,,125383,,0,2236551,6449,33011,,,,,0,2236551,6449
3/7/2021,WY,682,,0,,1391,1391,21,0,,,182264,0,,,602513,,,54764,46397,0,0,,,,,38993,53550,,0,649293,0,,,,,228661,0,649293,0
3/6/2021,AK,305,,0,,1293,1293,33,0,,,,0,,,1660758,,2,56886,,0,0,,,,,68693,,,0,1731628,0,,,,,,0,1731628,0
3/6/2021,AL,10149,7963,27,2186,45976,45976,526,0,2675,,1929624,4866,,,,1514,,499411,391817,524,0,,,,,,295690,,0,2321441,5314,,,119456,,2321441,5314,,0
